Food,Protein,Fat,Carbs,Calories,Exercise Recommendation
Tofu,33.8,7.7,14.5,406.4,Go for a 30-minute run
Beef,11.5,6.3,40.2,204.2,Go for a 30-minute run
Carrot,0.6,6.3,8.2,397.5,Go for a 30-minute run
Chicken Breast,22.0,22.6,22.1,422.6,Go for a 30-minute run
Turkey,26.1,18.3,23.3,424.8,Go for a 30-minute run
Avocado,31.3,26.6,19.9,496.3,Go for a 30-minute run
Tofu,8.8,13.6,2.4,193.5,Do 30 minutes of cycling
Spinach,27.7,16.5,21.1,400.3,Go for a 30-minute run
Apple,19.6,4.7,5.0,81.3,No exercise needed
Spinach,32.0,11.1,22.2,227.5,Go for a 30-minute run
Potato,12.0,22.3,15.3,264.9,Go for a 30-minute run
Egg,7.5,2.1,30.5,475.1,Go for a 30-minute run
Egg,36.3,5.8,32.4,497.6,Go for a 30-minute run
Chicken Breast,33.3,22.2,4.3,395.2,Go for a 30-minute run
Banana,47.9,21.8,14.6,352.2,Go for a 30-minute run
Almonds,23.1,19.1,9.8,65.1,No exercise needed
Almonds,4.9,24.6,37.8,139.5,Go for a 30-minute walk
Almonds,16.5,7.0,3.2,46.9,No exercise needed
Tomato,46.3,18.6,45.6,46.6,No exercise needed
Potato,2.8,15.9,36.5,433.0,Go for a 30-minute run
Beef,16.6,21.3,12.8,195.1,Do 30 minutes of cycling
Yogurt,41.7,23.2,1.6,497.9,Go for a 30-minute run
Banana,47.7,28.5,9.6,456.4,Go for a 30-minute run
Chicken Breast,13.9,2.9,48.4,430.1,Go for a 30-minute run
Apple,31.9,21.3,44.9,170.6,Do 30 minutes of cycling
Yogurt,15.0,26.7,28.2,284.6,Go for a 30-minute run
Broccoli,40.4,15.3,31.1,61.8,No exercise needed
Chicken Breast,17.7,29.2,39.2,64.0,No exercise needed
Avocado,3.8,9.9,21.4,110.1,Go for a 30-minute walk
Almonds,46.1,5.7,5.0,112.9,Go for a 30-minute walk
Tofu,41.6,27.9,43.1,348.1,Go for a 30-minute run
Potato,5.0,15.2,35.5,438.6,Go for a 30-minute run
Potato,46.5,9.7,4.6,401.4,Go for a 30-minute run
Avocado,35.4,24.6,1.3,31.4,No exercise needed
Beef,30.1,7.5,22.5,489.2,Go for a 30-minute run
Egg,25.5,3.6,42.7,416.1,Go for a 30-minute run
Salmon,1.7,11.8,39.3,397.9,Go for a 30-minute run
Oats,49.5,14.8,1.9,258.3,Go for a 30-minute run
Tomato,18.9,10.7,21.1,155.9,Do 30 minutes of cycling
Turkey,11.7,29.2,22.6,253.0,Go for a 30-minute run
Avocado,3.3,28.5,1.1,137.7,Go for a 30-minute walk
Tomato,3.6,16.5,36.1,413.9,Go for a 30-minute run
Carrot,41.1,18.3,37.0,184.1,Do 30 minutes of cycling
Rice,31.8,0.6,24.4,442.6,Go for a 30-minute run
Avocado,1.6,14.5,18.1,80.1,No exercise needed
Tofu,30.3,14.5,49.7,444.4,Go for a 30-minute run
Carrot,31.5,14.0,22.1,105.8,Go for a 30-minute walk
Avocado,2.7,28.8,6.0,371.5,Go for a 30-minute run
Potato,31.7,19.7,47.3,102.6,Go for a 30-minute walk
Tofu,8.3,22.5,7.1,421.3,Go for a 30-minute run
Yogurt,3.3,8.0,37.9,450.0,Go for a 30-minute run
Banana,30.8,5.4,31.9,428.7,Go for a 30-minute run
Broccoli,35.2,9.3,45.2,39.7,No exercise needed
Yogurt,29.5,8.4,1.0,111.4,Go for a 30-minute walk
Oats,31.3,28.1,9.7,93.1,No exercise needed
Almonds,36.8,8.4,6.6,414.4,Go for a 30-minute run
Carrot,46.7,11.6,13.3,424.2,Go for a 30-minute run
Avocado,38.6,23.3,43.7,274.5,Go for a 30-minute run
Tofu,10.9,14.7,11.5,205.5,Go for a 30-minute run
Apple,16.4,19.4,10.4,395.5,Go for a 30-minute run
Spinach,40.4,19.8,29.3,45.2,No exercise needed
Carrot,49.9,10.7,3.5,277.5,Go for a 30-minute run
Avocado,32.2,13.9,39.8,362.5,Go for a 30-minute run
Yogurt,2.5,4.8,4.5,349.6,Go for a 30-minute run
Potato,44.3,25.8,46.2,243.6,Go for a 30-minute run
Banana,33.2,22.8,12.0,185.7,Do 30 minutes of cycling
Rice,35.0,4.5,35.5,140.1,Go for a 30-minute walk
Oats,16.0,16.2,22.8,396.5,Go for a 30-minute run
Broccoli,49.7,18.2,7.8,241.2,Go for a 30-minute run
Egg,21.0,1.4,25.5,379.4,Go for a 30-minute run
Broccoli,39.8,12.9,23.7,30.9,No exercise needed
Potato,33.7,1.9,15.9,287.8,Go for a 30-minute run
Oats,17.0,13.5,40.0,60.5,No exercise needed
Egg,37.4,6.8,11.0,153.8,Do 30 minutes of cycling
Rice,15.8,3.9,27.4,213.2,Go for a 30-minute run
Egg,1.9,19.8,4.3,58.6,No exercise needed
Spinach,6.3,6.4,1.1,254.1,Go for a 30-minute run
Spinach,42.0,24.6,37.0,434.4,Go for a 30-minute run
Avocado,35.9,19.9,17.3,66.6,No exercise needed
Spinach,33.0,21.8,32.3,379.5,Go for a 30-minute run
Apple,29.3,21.9,44.5,398.1,Go for a 30-minute run
Almonds,37.0,17.6,23.1,349.1,Go for a 30-minute run
Salmon,14.9,26.9,32.6,315.0,Go for a 30-minute run
Almonds,7.9,3.7,27.3,235.9,Go for a 30-minute run
Turkey,23.7,18.7,1.1,488.7,Go for a 30-minute run
Beef,31.9,26.8,26.4,161.7,Do 30 minutes of cycling
Yogurt,3.5,14.4,20.8,378.7,Go for a 30-minute run
Spinach,11.8,20.4,8.3,347.5,Go for a 30-minute run
Yogurt,43.0,11.6,21.5,436.3,Go for a 30-minute run
Egg,15.8,26.2,6.4,44.6,No exercise needed
Potato,37.2,5.3,9.8,370.7,Go for a 30-minute run
Oats,38.0,9.0,10.5,294.5,Go for a 30-minute run
Egg,25.7,11.8,0.0,457.8,Go for a 30-minute run
Spinach,37.3,7.4,14.0,170.9,Do 30 minutes of cycling
Yogurt,32.1,23.5,17.0,436.5,Go for a 30-minute run
Rice,41.0,10.5,36.1,265.6,Go for a 30-minute run
Spinach,35.7,2.5,9.2,373.9,Go for a 30-minute run
Chicken Breast,28.7,21.1,16.8,282.5,Go for a 30-minute run
Avocado,11.9,25.4,9.7,368.0,Go for a 30-minute run
Tofu,25.6,19.9,34.3,187.4,Do 30 minutes of cycling
Potato,27.0,5.2,22.0,471.9,Go for a 30-minute run
Yogurt,36.6,20.3,10.2,331.2,Go for a 30-minute run
Yogurt,31.4,4.3,4.7,404.6,Go for a 30-minute run
Tofu,35.2,28.3,40.6,271.1,Go for a 30-minute run
Avocado,17.1,23.4,43.5,147.9,Go for a 30-minute walk
Avocado,41.1,21.1,28.4,37.5,No exercise needed
Spinach,13.6,7.2,38.0,448.1,Go for a 30-minute run
Beef,46.2,0.5,22.3,456.0,Go for a 30-minute run
Apple,10.3,16.2,36.2,360.3,Go for a 30-minute run
Carrot,15.0,27.0,19.4,364.1,Go for a 30-minute run
Broccoli,11.9,4.1,27.3,237.0,Go for a 30-minute run
Beef,46.4,15.1,36.7,180.2,Do 30 minutes of cycling
Turkey,41.7,21.5,46.3,350.2,Go for a 30-minute run
Beef,13.7,17.5,21.7,499.6,Go for a 30-minute run
Tomato,41.6,24.7,33.5,188.4,Do 30 minutes of cycling
Potato,41.8,26.7,30.0,283.1,Go for a 30-minute run
Apple,0.0,24.3,11.4,278.0,Go for a 30-minute run
